Scheme Code,Scheme Name,Issue Date,Ministry,Beneficiaries,Benefits,Min age,Max age,Income,Gender,Caste,Minority Group,Physically Challenged
PMGSY,Pradhan Mantri Gram Sadak Yojana,Dec-25 2000,Ministry of Rural Development,Rural Communities,Connecting rural areas with all-weather roads,6,77,121297,both,SC,No,No
NRLM,National Rural Livelihood Mission,Jun-04 2011,Ministry of Rural Development,Rural Poor,Promoting self-employment and providing sustainable livelihood opportunities,7,75,42747,both,SC,No,No
PMJDY,Pradhan Mantri Jan Dhan Yojana,Aug-28 2014,Ministry of Finance,Financial Inclusion,Universal access to banking facilities,17,60,49129,both,OBC,No,Yes
PMUY,Pradhan Mantri Ujjwala Yojana,May-01 2016,Ministry of Petroleum and Natural Gas,Women from BPL households,Free LPG connections to households below the poverty line,3,72,36205,female,SC,Yes,Yes
NSAP,National Social Assistance Programme,Aug-15 1995,Ministry of Rural Development,Senior Citizens,Financial assistance to senior citizens widows and disabled persons,15,49,66438,both,General,Yes,No
BMBY,Beti Bachao Beti Padhao Yojana,Jan-22 2015,Ministry of Women and Child Development,Girl Child,Promoting the welfare of the girl child and addressing gender imbalance,8,62,290105,female,OBC,No,No
SBM,Swachh Bharat Abhiyan (Clean India Mission),Oct-02 2014,Ministry of Housing and Urban Affairs,All Citizens,Promoting cleanliness and sanitation across the country,20,26,93921,both,SC,No,No
PMMVY,Pradhan Mantri Matru Vandana Yojana,Jan-01 2017,Ministry of Women and Child Development,Pregnant and Lactating Women,Maternity benefits for first-time mothers,10,26,83136,female,General,Yes,Yes
DISHA,Driving Innovation in School Health and Advancement,Nov-29 2019,Ministry of Education,Students,Promoting innovation in school education and health,23,55,76774,both,OBC,Yes,Yes
ASAP,Atal Skill Development Programme,Dec-25 2019,Ministry of Skill Development and Entrepreneurship,Youth and Workers,Skill development for enhancing employability,3,77,285027,both,ST,Yes,No
PMKVY,Pradhan Mantri Kaushal Vikas Yojana,Jul-15 2015,Ministry of Skill Development and Entrepreneurship,Youth and Workers,Enhancing skills and employability through training and certification,22,53,200764,both,General,No,No
NMCG,National Mission for Clean Ganga,Jun-08 2014,Ministry of Jal Shakti,Water Conservation and Management,Conservation and sustainable use of water resources,13,47,169634,both,OBC,Yes,Yes
NNM,National Nutrition Mission,2017,Ministry of Women and Child Development,Mother and Child Health,Nutrition and health services for women and children,24,61,83985,female,SC,No,Yes
OGS,Operation Greens Scheme,2018,Ministry of Agriculture and Farmers Welfare,Horticulture and Agriculture,Stabilizing prices of tomato onion and potato crops,8,44,104583,both,ST,Yes,Yes
DOM,Deep Ocean Mission,Aug-13 2021,Ministry of Earth Sciences,Scientific Community,Exploration and conservation of deep-sea biodiversity and resources,11,33,59877,both,General,No,No
PMKISAN,Pradhan Mantri Kisan Samman Nidhi Scheme,Feb-24 2019,Ministry of Agriculture and Farmers Welfare,Farmers,Income support for small and marginal farmers,3,65,104392,both,ST,Yes,No
PMKMY,Pradhan Mantri Kisan Maan Dhan Yojana,Sep-12 2019,Ministry of Agriculture and Farmers Welfare,Farmers,Old age pension for small and marginal farmers,1,74,96274,both,OBC,Yes,Yes
PMGKY,Pradhan Mantri Garib Kalyan Yojana,Mar-20,Ministry of Finance,Underprivileged,Crisis relief package during the COVID-19 pandemic,12,72,261997,both,General,No,No
PMSYM,Pradhan Mantri Shram Yogi Maan-Dhan,Feb-15 2019,Ministry of Labour and Employment,Unorganized Workers,Pension for unorganized sector workers,13,45,74990,both,ST,No,No
NJSM,New Jal Shakti Ministry,May-19,Ministry of Jal Shakti,Water Management and Conservation,Integrated management of water resources,20,57,183204,both,SC,Yes,Yes
JDY,Jan Dhan Yojana,Aug-28 2014,Ministry of Finance,Financial Inclusion,Providing banking services to the unbanked,8,30,143497,both,OBC,No,No
SIM,Skill India Mission,Jul-15 2015,Ministry of Skill Development and Entrepreneurship,Youth and Workers,Enhancing skills and employability across various sectors,8,34,128944,both,General,Yes,Yes
MII,Make in India,Sep-25 2014,Ministry of Commerce and Industry,Manufacturing Sector,Promoting manufacturing and job creation,20,46,58599,both,ST,No,No
SBM,Swachh Bharat Mission,Oct-02 2014,Ministry of Housing and Urban Affairs,Citizens and Communities,Cleanliness and sanitation promotion,6,32,79003,both,SC,Yes,Yes
SAGY,Sansad Adarsh Gram Yojana,Oct-11 2014,Ministry of Rural Development,Rural Development,Developing model villages by Members of Parliament,14,52,273791,both,OBC,No,Yes
SSS,Sukanya Samriddhi Scheme – Beti Bachao Beti Padhao,Jan-22 2015,Ministry of Women and Child Development,Girl Child Empowerment,Financial security and education for girl children,1,51,280956,female,General,Yes,No
HRIDAY,HRIDAY Scheme,Jan-15,Ministry of Housing and Urban Affairs,Urban Heritage Conservation,Preserving and promoting heritage in urban areas,20,29,214346,both,ST,Yes,No
PM Mudra Yojna,Apr-08 2015,Ministry of Finance,Small Entrepreneurs,Financial support for small businesses and startups,,21,48,151351,both,SC,No,No
Ujala Yojna,May-01 2015,Ministry of Power,Households,Encouraging use of LED bulbs for energy conservation,,14,50,205446,both,OBC,Yes,No
APY,Atal Pension Yojana,Jun-15 2015,Ministry of Finance,Unorganized Workers,Pension scheme for unorganized sector workers,7,78,255250,both,General,No,Yes
PMJJBY,Prime Minister Jeevan Jyoti Bima Yojana,May-09 2015,Ministry of Finance,Uninsured Individuals,Life insurance coverage at affordable premiums,2,27,185442,both,ST,Yes,Yes
PMSBY,Pradhan Mantri Suraksha Bima Yojana,May-09 2015,Ministry of Finance,Uninsured Individuals,Accident insurance coverage at affordable premiums,9,52,81959,both,SC,No,No
AMRUT,AMRUT Plan,Jun-25 2015,Ministry of Housing and Urban Affairs,Urban Development,Providing basic urban infrastructure,7,60,228984,both,OBC,Yes,No
DI,Digital India Mission,Jul-01 2015,Ministry of Electronics and Information Technology,Digital Connectivity and Services,Transforming India into a digitally empowered society,2,77,199981,both,General,No,No
GMS,Gold Monetization Scheme,Nov-04 2015,Ministry of Finance,Gold Owners,Monetization of idle gold holdings,20,73,61871,both,ST,Yes,Yes
UDAY,Ujwal DISCOM Assurance Yojana,Nov-20 2015,Ministry of Power,Power Distribution Companies,Financial and operational turnaround of state power distribution companies,21,62,93457,both,SC,No,No
SU,Start-up India,Jan-16 2016,Ministry of Commerce and Industry,Start-up Entrepreneurs,Promoting innovation and entrepreneurship,13,32,282546,both,General,Yes,Yes
SBY,Setu Bhartam Yojana,Mar-04 2016,Ministry of Road Transport & Highways,Road Safety,Construction of safe road overbridges,4,38,246908,both,OBC,No,No
SU,Stand Up India,Apr-05 2016,Ministry of Finance,SC/ST/Women Entrepreneurs,Financial support for SC/ST/women entrepreneurs,2,74,178841,female,SC,Yes,Yes
PMUP,Prime Minister Ujjwala Plan,May-01 2016,Ministry of Petroleum and Natural Gas,Underprivileged Women,Providing free LPG connections to BPL households,2,71,80392,female,ST,No,No
NMCG,National Mission for Clean Ganga,Jun-08 2014,Ministry of Jal Shakti,Water Conservation and Management,Conservation and sustainable use of water resources,20,59,12879,both,SC,No,Yes
NNM,National Nutrition Mission,2017,Ministry of Women and Child Development,Mother and Child Health,Nutrition and health services for women and children,0,36,242153,female,OBC,No,No
DOM,Deep Ocean Mission,Aug-13 2021,Ministry of Earth Sciences,Scientific Community,Exploration and conservation of deep-sea biodiversity and resources,19,47,298902,both,General,Yes,Yes
PMKISAN,Pradhan Mantri Kisan Samman Nidhi Scheme,Feb-24 2019,Ministry of Agriculture and Farmers Welfare,Farmers,Income support for small and marginal farmers,23,38,238164,both,OBC,Yes,No
PMKMY,Pradhan Mantri Kisan Maan Dhan Yojana,Sep-12 2019,Ministry of Agriculture and Farmers Welfare,Farmers,Old age pension for small and marginal farmers,5,70,274380,both,SC,Yes,Yes
PMGKY,Pradhan Mantri Garib Kalyan Yojana,Mar-20,Ministry of Finance,Underprivileged,Crisis relief package during the COVID-19 pandemic,8,45,112488,both,OBC,No,No
PMSYM,Pradhan Mantri Shram Yogi Maan-Dhan,Feb-15 2019,Ministry of Labour and Employment,Unorganized Workers,Pension for unorganized sector workers,21,51,174262,both,SC,No,Yes
NJSM,New Jal Shakti Ministry,May-19,Ministry of Jal Shakti,Water Management and Conservation,Integrated management of water resources,1,75,286925,both,General,Yes,No
JDY,Jan Dhan Yojana,Aug-28 2014,Ministry of Finance,Financial Inclusion,Providing banking services to the unbanked,4,67,166094,both,ST,Yes,No
SIM,Skill India Mission,Jul-15 2015,Ministry of Skill Development and Entrepreneurship,Youth and Workers,Enhancing skills and employability across various sectors,18,42,113160,both,SC,No,Yes
MII,Make in India,Sep-25 2014,Ministry of Commerce and Industry,Manufacturing Sector,Promoting manufacturing and job creation,3,71,254495,both,ST,Yes,Yes
SBM,Swachh Bharat Mission,Oct-02 2014,Ministry of Housing and Urban Affairs,Citizens and Communities,Cleanliness and sanitation promotion,3,70,97384,both,SC,No,No
SAGY,Sansad Adarsh Gram Yojana,Oct-11 2014,Ministry of Rural Development,Rural Development,Developing model villages by Members of Parliament,25,80,65655,both,General,Yes,Yes
SSS,Sukanya Samriddhi Scheme – Beti Bachao Beti Padhao,Jan-22 2015,Ministry of Women and Child Development,Girl Child Empowerment,Financial security and education for girl children,16,47,221453,female,SC,No,No
HRIDAY,HRIDAY Scheme,Jan-15,Ministry of Housing and Urban Affairs,Urban Heritage Conservation,Preserving and promoting heritage in urban areas,22,37,288631,both,ST,Yes,Yes
